ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
283,24d10m3.7s,15d48m23.0s,88,59,79,0,1,-188,4.04,24.167694444444447,15.80638888888889
284,24d10m4.1s,15d46m41.5s,25,24,25,-90,2,-53,1.37,24.167805555555557,15.778194444444445
285,24d10m4.2s,15d48m22.5s,20,17,19,0,1,-188,4.01,24.167833333333334,15.80625
286,24d10m4.3s,15d46m42.9s,43,38,41,0,2,-64,1.32,24.16786111111111,15.778583333333334
287,24d10m4.3s,15d45m59.6s,69,68,69,-90,4,16,3.1,24.16786111111111,15.766555555555556
288,24d10m4.9s,15d46m11.4s,25,24,25,0,4,-84,2.56,24.16802777777778,15.769833333333334
289,24d10m4.9s,15d48m23.2s,19,19,19,0,1,-179,4.03,24.16802777777778,15.806444444444445
290,24d10m5.0s,15d46m1.1s,29,28,29,0,4,3,3.02,24.168055555555558,15.766972222222224
291,24d10m5.2s,15d46m37.8s,29,28,29,0,2,-34,1.46,24.168111111111113,15.777166666666668
292,24d10m5.2s,15d46m12.1s,21,18,20,0,4,-91,2.52,24.168111111111113,15.770027777777779
293,24d10m5.3s,15d46m29.6s,28,27,28,0,2,37,1.78,24.16813888888889,15.77488888888889
294,24d10m5.3s,15d46m51.2s,29,25,28,0,2,125,1.06,24.16813888888889,15.78088888888889
295,24d10m6.0s,15d45m39.7s,22,20,21,0,4,189,3.99,24.168333333333333,15.761027777777779
296,24d10m6.0s,15d46m6.8s,94,92,93,0,4,-48,2.75,24.168333333333333,15.768555555555556
297,24d10m6.2s,15d48m38.6s,51,49,51,0,1,123,4.74,24.16838888888889,15.810722222222223
298,24d10m6.4s,15d47m54.8s,158,158,158,0,2,-22,2.71,24.168444444444447,15.798555555555556
299,24d10m6.8s,15d48m44.5s,53,51,53,-90,1,137,5.01,24.168555555555557,15.812361111111112
300,24d10m7.0s,15d48m8.6s,194,166,185,-90,2,90,3.33,24.16861111111111,15.80238888888889
301,24d10m7.2s,15d47m49.8s,62,56,60,0,2,-66,2.48,24.168666666666667,15.797166666666666
302,24d10m7.4s,15d46m30.8s,29,26,28,0,2,38,1.67,24.16872222222222,15.775222222222222
303,24d10m7.6s,15d45m56.2s,24,24,24,0,4,40,3.21,24.16877777777778,15.765611111111111
304,24d10m7.6s,15d46m40.6s,42,41,42,-90,2,-66,1.29,24.16877777777778,15.777944444444445
305,24d10m7.8s,15d48m13.0s,62,55,60,-90,2,125,3.53,24.168833333333335,15.803611111111111
306,24d10m7.8s,15d45m53.0s,19,18,19,0,4,69,3.36,24.168833333333335,15.764722222222222
307,24d10m8.1s,15d48m19.6s,33,19,28,-39,2,179,3.83,24.168916666666668,15.805444444444445
308,24d10m8.1s,15d45m51.7s,25,19,23,0,4,81,3.41,24.168916666666668,15.76436111111111
309,24d10m8.2s,15d45m59.3s,26,25,25,0,4,13,3.06,24.168944444444445,15.766472222222223
310,24d10m8.3s,15d47m45.2s,80,76,79,0,2,-105,2.25,24.168972222222223,15.79588888888889
311,24d10m8.5s,15d46m26.3s,19,19,19,0,2,75,1.84,24.169027777777778,15.773972222222223
312,24d10m8.6s,15d45m56.4s,27,23,26,0,4,39,3.19,24.169055555555556,15.765666666666666
313,24d10m8.6s,15d45m53.6s,39,36,38,-90,4,64,3.32,24.169055555555556,15.764888888888889
314,24d10m8.8s,15d46m31.6s,48,37,44,0,2,-44,1.61,24.16911111111111,15.775444444444446
315,24d10m8.8s,15d46m10.6s,33,23,29,0,4,-85,2.53,24.16911111111111,15.769611111111113
316,24d10m9.1s,15d46m40.8s,36,36,36,-90,2,-77,1.24,24.169194444444447,15.778
317,24d10m9.1s,15d46m23.8s,90,78,86,-90,2,98,1.94,24.169194444444447,15.773277777777778
318,24d10m9.2s,15d46m44.2s,32,24,29,0,2,99,1.11,24.169222222222224,15.778944444444445
319,24d10m9.4s,15d46m12.9s,21,18,20,0,4,-105,2.42,24.16927777777778,15.77025
320,24d10m9.5s,15d47m23.8s,55,43,51,-90,4,114,1.32,24.169305555555557,15.789944444444444
321,24d10m9.8s,15d45m46.9s,26,22,24,0,4,124,3.62,24.16938888888889,15.763027777777777
322,24d10m10.1s,15d48m1.9s,42,40,41,-90,2,26,2.99,24.169472222222222,15.800527777777779
323,24d10m10.6s,15d46m25.7s,21,20,20,0,2,90,1.83,24.169611111111113,15.773805555555557
324,24d10m11.2s,15d47m8.0s,53,50,52,0,4,179,0.75,24.169777777777778,15.785555555555556
325,24d10m11.8s,15d47m7.5s,34,30,32,0,4,179,0.71,24.169944444444447,15.785416666666666
326,24d10m11.9s,15d48m25.3s,25,21,24,0,1,-124,4.07,24.169972222222224,15.807027777777778
327,24d10m12.3s,15d48m39.0s,48,47,48,-90,1,73,4.71,24.170083333333334,15.810833333333335
328,24d10m12.6s,15d47m8.9s,19,18,19,0,4,165,0.72,24.170166666666667,15.785805555555555
